iter	RMSE
487	3.973589648
488	3.969745582
489	3.967556966
490	3.964152958
491	3.962699196
492	3.960378126
493	3.958377577
494	3.956379745
495	3.956240224
496	3.952670992
497	3.949997027
498	3.947980281
499	3.945069536
500	3.94496511
501	3.941827049
502	3.939269315
503	3.936235599
504	3.934511786
505	3.932816218
506	3.931352289
507	3.929232173
508	3.926213175
509	3.92211773
510	3.919250287
511	3.917337381
512	3.915467195
513	3.915358952
514	3.912755287
515	3.911584524
516	3.909635409
517	3.906590329
518	3.903730825
519	3.901841253
520	3.90118057
521	3.899956759
522	3.895904585
523	3.894555355
524	3.894199418
525	3.893382943
526	3.890521973
527	3.887602793
528	3.884140316
529	3.880327782
530	3.87907055
531	3.877525403
532	3.874559415
533	3.872909793
534	3.871929116
535	3.8695234
536	3.867567356
537	3.866083065
538	3.860525482
539	3.860167801
540	3.858395997
541	3.855531051
542	3.852882246
543	3.850947998
544	3.850278935
545	3.850188296
546	3.848029505
547	3.844294877
548	3.84157225
549	3.837034216
550	3.835535028
551	3.831760204
552	3.830149507
553	3.827310494
554	3.82250603
555	3.818479153
556	3.816988482
557	3.811981245
558	3.811223902
559	3.807932317
560	3.806711121
561	3.805911694
562	3.80580854
563	3.804256589
564	3.802948571
565	3.800446091
566	3.798880562
567	3.797712921
568	3.796580986
569	3.79413436
570	3.792039351
571	3.789801274
572	3.788417184
573	3.785949708
574	3.784651379
575	3.784494129
576	3.781223858
577	3.779413985
578	3.779187379
579	3.776804227
580	3.775757692
581	3.772688131
582	3.77067226
583	3.770573436
584	3.77022207
585	3.768849169
586	3.764897696
587	3.763434471
588	3.763217783
589	3.762725658
590	3.758182248
591	3.755366246
592	3.753997617
593	3.750655215
594	3.749367872
595	3.747346998
596	3.745525824
597	3.74349139
598	3.743413306
599	3.741299001
600	3.739584313
601	3.73739174
602	3.737212588
603	3.736475301
604	3.734829168
605	3.733740424
606	3.731782469
607	3.730210778
608	3.72803789
609	3.726235053
610	3.724500286
611	3.722006378
612	3.720298791
613	3.717104286
614	3.713665485
615	3.711692012
616	3.710601101
617	3.709363409
618	3.708588399
619	3.70757412
620	3.703851049
621	3.703248935
622	3.701601644
623	3.698708192
624	3.697198661
625	3.694541065
626	3.694457478
627	3.692579198
628	3.688263899
629	3.686851855
630	3.68512264
631	3.682060256
632	3.680810419
633	3.680084187
634	3.678206738
635	3.675323652
636	3.672762387
637	3.672291884
638	3.670840235
639	3.667355307
640	3.665776866
641	3.661799087
642	3.661693699
643	3.659657682
644	3.658145241
645	3.656256191
646	3.651463546
647	3.648424027
648	3.646016235
649	3.643682221
650	3.640930523
651	3.639077749
652	3.636809763
653	3.635155019
654	3.634743586
655	3.634584797
656	3.631170529
657	3.62960871
658	3.629106875
659	3.626961523
660	3.625878759
661	3.622636086
662	3.618880372
663	3.614821173
664	3.613434987
665	3.611440338
666	3.610285383
667	3.608004979
668	3.605596347
669	3.602946961
670	3.601118254
671	3.600346474
672	3.59966008
673	3.596373994
674	3.593446612
675	3.59058055
676	3.587374345
677	3.583653375
678	3.580042897
679	3.578882297
680	3.575531181
681	3.574349264
682	3.572602273
683	3.571008088
684	3.570720881
685	3.568485894
686	3.565444935
687	3.562355158
688	3.559449507
689	3.558630696
690	3.555743692
691	3.555269613
692	3.552293091
693	3.549820912
694	3.547971101
695	3.546976746
696	3.545109688
697	3.542292884
698	3.539895757
699	3.538115353
700	3.537198475
701	3.535880823
702	3.533387426
703	3.532560764
704	3.531576189
705	3.529095335
706	3.528206284
707	3.525340191
708	3.524428435
709	3.523245494
710	3.520196201
711	3.518938617
712	3.518147071
713	3.516294358
714	3.515130171
715	3.511916554
716	3.509981277
717	3.507966366
718	3.505998608
719	3.504760713
720	3.503980763
721	3.503098566
722	3.502353682
723	3.499895311
724	3.498109539
725	3.496048983
726	3.494003053
727	3.493603512
728	3.490645805
729	3.489457133
730	3.488356445
731	3.486961297
732	3.4862711
733	3.483250685
734	3.481754179
735	3.481247073
736	3.480006834
737	3.478852663
738	3.476466358
739	3.475893323
740	3.472622495
741	3.472397033
742	3.472332224
743	3.468883116
744	3.467394057
745	3.466300558
746	3.4624392
747	3.460351636
748	3.459198399
749	3.458558622
750	3.458494781
751	3.457417804
752	3.454828638
753	3.453876494
754	3.451674896
755	3.450303023
756	3.448973658
757	3.448705098
758	3.44703924
759	3.444173326
760	3.442110823
761	3.440893016
762	3.437503522
763	3.434525504
764	3.432687919
765	3.431852381
766	3.430550581
767	3.429189536
768	3.427874589
769	3.42585456
770	3.423388223
771	3.422532767
772	3.419709779
773	3.418877683
774	3.416537103
775	3.415254652
776	3.410845083
777	3.409499754
778	3.408777341
779	3.406073876
780	3.405716149
781	3.405274866
782	3.402538853
783	3.399660201
784	3.397951752
785	3.39532948
786	3.392049861
787	3.391267468
788	3.390299934
789	3.38684215
790	3.38541434
791	3.384330103
792	3.383264933
793	3.382438921
794	3.380948972
795	3.379273432
796	3.377435739
797	3.374601775
798	3.373633829
799	3.371774365
800	3.370607471
801	3.369888377
802	3.368404504
803	3.367264022
804	3.364881164
805	3.363116771
806	3.361546519
807	3.360568375
808	3.358975573
809	3.357030783
810	3.355941034
811	3.353514034
812	3.35233836
813	3.350775377
814	3.347401776
815	3.346547583
816	3.343362079
817	3.342175583
818	3.341597144
819	3.341494463
820	3.338987501
821	3.3369216
822	3.335730309
823	3.333139229
824	3.330567401
825	3.329336134
826	3.326632013
827	3.323138247
828	3.322145297
829	3.320477305
830	3.319816398
831	3.317945065
832	3.315452939
833	3.313459318
834	3.311689769
835	3.311240902
836	3.308237767
837	3.306576907
838	3.305387319
839	3.305239006
840	3.304504828
841	3.303590721
842	3.303497525
843	3.300846704
844	3.298621734
845	3.297832692
846	3.295365175
847	3.293787173
848	3.292759961
849	3.291563879
850	3.290144793
851	3.289012077
852	3.288084436
853	3.287957214
854	3.285407381
855	3.28472904
856	3.282300535
857	3.281224068
858	3.279648417
859	3.276947718
860	3.275653408
861	3.274813738
862	3.273906281
863	3.271749496
864	3.270670581
865	3.269501372
866	3.267534851
867	3.266840487
868	3.265670678
869	3.262724076
870	3.262495554
871	3.261701416
872	3.260135716
873	3.259713405
874	3.257479211
875	3.254859594
876	3.254503728
877	3.252917788
878	3.250740904
879	3.250305981
880	3.249615812
881	3.248862588
882	3.247875953
883	3.246755211
884	3.244083103
885	3.243084329
886	3.240350314
887	3.239076405
888	3.237235798
889	3.236007315
890	3.23436109
891	3.232284872
892	3.229902456
893	3.229136873
894	3.228757498
895	3.227898911
896	3.226382585
897	3.224530636
898	3.221909325
899	3.219332754
900	3.216732064
901	3.215799229
902	3.214694839
903	3.213003768
904	3.210783113
905	3.20838639
906	3.208327733
907	3.207544689
908	3.205321719
909	3.202849792
910	3.201668848
911	3.201194736
912	3.199998285
913	3.199322585
914	3.198641802
915	3.196824026
916	3.195513893
917	3.195391193
918	3.193946743
919	3.193055439
920	3.191550325
921	3.19090651
922	3.188969835
923	3.186704503
924	3.183897174
925	3.182370886
926	3.180854131
927	3.180641175
928	3.179524108
929	3.178454492
930	3.177553961
931	3.174879102
932	3.174471726
933	3.171431195
934	3.170644635
935	3.170174476
936	3.170118369
937	3.168977172
938	3.167175788
939	3.166189336
940	3.163272053
941	3.160696565
942	3.159159274
943	3.156602433
944	3.154948677
945	3.153320025
946	3.150593593
947	3.149704403
948	3.146493378
949	3.146440174
950	3.144549196
951	3.143129843
952	3.141603091
953	3.141096723
954	3.140575086
955	3.138382667
956	3.137996672
957	3.136654399
958	3.133960148
959	3.133119544
960	3.132218109
961	3.130949824
962	3.129411588
963	3.128840781
964	3.127799507
965	3.127001886
966	3.126168281
967	3.124838921
968	3.124151933
969	3.121978038
970	3.12142072
971	3.119892677
972	3.119806717
973	3.119261599
974	3.118106629
975	3.117715069
976	3.117102057
977	3.114411413
978	3.113277876
979	3.112406377
980	3.112046386
981	3.111242908
982	3.110674583
983	3.110468135
984	3.108464293
985	3.108288228
986	3.106332524
987	3.103818421
988	3.103437696
989	3.101487472
990	3.100330677
991	3.098448384
992	3.096169897
993	3.095428155
994	3.094994974
995	3.093954806
996	3.093706272
997	3.093660796
998	3.09360795
999	3.09305075
